Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
Square 134 Architects,"1232 M STREET NW, , WASHINGTON, DC / 2023281034",LSZ89128042013,"DZE, SBE, LBE",rschneck@square134.com,4/22/2013,Ronald Schneck AIA / 2023280134,1232 M ST NW,1232 M ST NW ,N
"SR/A Interior Design, LLC","2121 WARD PLACE NW, 5th floor, WASHINGTON, DC / 2029745130",LSZ38862092013,"DZE, SBE, LBE",sabiner@srainteriordesign.com,9/2/2013,Sabine Roy / 2022566837,2121 WARD PLACE NW,2121 WARD PLACE NW 5,Y
SRB Productions Incorporated,"1020 16TH STREET NW, Suite 400, WASHINGTON, DC / 2027757721",LSD85530092014,"DBE, SBE, LBE",BHenley@srbcommunications.com,9/24/2014,Sheila Brooks / 2027758020,1020 16TH ST NW,1020 16TH ST NW 400,Y
"Standard Office Supply, Inc.","35 SHERIDAN STREET NW, , WASHINGTON, DC / 2028294820",LSX19158092014,"LRB, SBE, LBE",miltonmorris@mdmstandard.com,9/4/2014,Merrillie D. Morris / 2028294820,35 SHERIDAN ST NW,35 SHERIDAN ST NW ,N
STANTON DEVELOPMENT CORP,"305 7TH STREET SE, , WASHINGTON, DC / 2025446666",LSXR15739122014,"ROB, LRB, SBE, LBE",STANTONDEVELOPMENT@GMAIL.COM,12/20/2014,KATHLEEN KAUPP / 2025446666,305 7TH ST SE,305 7TH ST SE ,N
Star Enterprises Inc.,"700 7TH STREET SW, Suite 136, WASHINGTON, DC / 8884758044",LSDR42712022015,"ROB, DBE, SBE, LBE",star-enterprises@live.com,2/4/2015,Naomi Brown / 8884758044,700 7TH ST SW,700 7TH ST SW 136,Y
"Star Office Products, Inc.","1900 L STREET NW, 303, WASHINGTON, DC / 2024636693",LSD45478112013,"DBE, SBE, LBE",staroffc@aol.com,11/18/2013,Samina Ahmad / 2024636693,1900 L ST NW,1900 L ST NW 303,Y
"Starghill's Limousine and Sedan Service, LLC","2511 BRENTWOOD ROAD NE, , WASHINGTON, DC / 2023456752",LSDZR9673032014,"ROB, DZE, DBE, SBE, LBE",ChristopherStarghill@TNMBC.ORG,3/9/2014,Christopher Starghill / 2023456752,2511 BRENTWOOD RD NE,2511 BRENTWOOD RD NE ,N
"Steele Foundations, Inc.","3299 K STREET NW, 601, WASHINGTON, DC / 2023421194",LS24861052013,"SBE, LBE",mary@steelefoundationllc.com,5/13/2013,Ronald Steele / 2023421194,3299 K ST NW,3299 K ST NW 601,Y
Stefron LLC,"2316 32ND STREET SE, , WASHINGTON, DC / 2023593269",LSDZR67629112013,"ROB, DZE, DBE, SBE, LBE",boethom@aol.com,11/4/2013,Ronnie Thomas / 2023593269,2316 32ND ST SE,2316 32ND ST SE ,N
"STEPHEN & ASSOCIATES, CPA P.C.","1200 G STREET NW, SUITE 800, WASHINGTON, DC / 2023156324",LSDZ20235072013,"DZE, DBE, SBE, LBE",stephen@stephencpacma.com,7/22/2013,STEPHEN OGUNSUSI / 2023156324,1200 G ST NW,1200 G ST NW 800,Y
"Steppingstones Management Services, LLC","1706 GALES STREET NE, , WASHINGTON, DC / 2023450282",LSDZ18901112013,"DZE, DBE, SBE, LBE",admin@stepms.com,11/7/2013,Yao Tyus / 2023450282,1706 GALES ST NE,1706 GALES ST NE ,N
STOCKBRIDGE Consulting,"1133 46TH STREET SE, , WASHINGTON, DC / 2027601672",LSDZR94933122014,"ROB, DZE, DBE, SBE, LBE",jjohnson@stockbridgeconsulting.com,12/31/2014,Jesshond Johnson / 2027601672,1133 46TH ST SE,1133 46TH ST SE ,N
Stoiber + Associates,"1621 CONNECTICUT AVENUE NW, Suite 200, WASHINGTON, DC / 2029864700",LSXR59967012014,"ROB, LRB, SBE, LBE",jstoiber@stoiberandassociates.com,1/21/2014,Jeffrey Stoiber / 2029864700,1621 CONNECTICUT AV NW,1621 CONNECTICUT AV NW 200,Y
"Stonegate Construction Group, LLC","513 HARVARD STREET NW, Suite 2, WASHINGTON, DC / 2023873026",LSDZR6437102013,"ROB, DZE, DBE, SBE, LBE",lwrightagentreo@aol.com,10/11/2013,Lisa Wright / 2023873029,513 HARVARD ST NW,513 HARVARD ST NW 2,Y
"STORYBOARD, LLC","5262 WATSON STREET NW, , WASHINGTON, DC / 2025796690",LSR46095092013,"ROB, SBE, LBE",kehollinger@comcast.net,9/16/2013,Kathy Etemad-Hollinger / 2025796690,5262 WATSON ST NW,5262 WATSON ST NW ,N
Strategic Educational Consulting LLC,"1436 INDEPENDENCE AVENUE SE, , WASHINGTON, DC / 2024898951",LSR63433032013,"ROB, SBE, LBE",strategicedconsulting@gmail.com,3/25/2013,Balchander Jayaraman / 2024898951,1436 INDEPENDENCE AV SE,1436 INDEPENDENCE AV SE ,N
"Strategic Technology Assessment, LLC","201 I STREET NE, Suite 614, WASHINGTON, DC / 2024369900",LSZR1325022015,"ROB, DZE, SBE, LBE",gary@stagov.com,2/22/2015,Gary Carpentier / 2024369900,201 I ST NE,201 I ST NE 614,Y
"Strategiesfirst, LLC","606 RALEIGH PLACE SE, Suite 211, WASHINGTON, DC / 2025614013",LSDZ73440022015,"DZE, DBE, SBE, LBE",mcooper@strategiesfirst.com,2/21/2015,Michael Cooper / 2025614013,606 RALEIGH PLACE SE,606 RALEIGH PLACE SE 211,Y
"Strittmatter Metro, LLC","5630 CONNECTICUT AVENUE NW, 3rd Floor, WASHINGTON, DC / 2022693200",L46001072014,LBE,blake@bcerealestate.com,7/21/2014,Blake Esherick / 2023658815,5630 CONNECTICUT AV NW,5630 CONNECTICUT AV NW 3,Y
Strong Production,"77 RANDOLPH PLACE NW, , WASHINGTON, DC / 2022561947",LSDZR16845022015,"ROB, DZE, DBE, SBE, LBE",mw7@strongpllc.com,2/22/2015,Williams Michele / 2022561947,77 RANDOLPH PLACE NW,77 RANDOLPH PLACE NW ,N
Studio 27 Architecture,"1600 K STREET NW, Suite 202, WASHINGTON, DC / 2029390027",LS98759012014,"SBE, LBE",jburke@studio27arch.com,1/20/2014,John Burke / 2029390027,1600 K ST NW,1600 K ST NW 202,Y
Studio Laan,"1117 C STREET SE, , WASHINGTON, DC / 2022134259",LSDR31900112014,"ROB, DBE, SBE, LBE",panderson@studiolaan.net,11/21/2014,Philip Anderson / 2022134259,1117 C ST SE,1117 C ST SE ,N
"Studio100A, LLC","515 M STREET SE, Suite 116, WASHINGTON, DC / 2026836260",LSZR89276112014,"ROB, DZE, SBE, LBE",studio100allc@gmail.com,11/20/2014,William Teass / 2022471277,515 M ST SE,515 M ST SE 116,Y
STUDIOS Architecture DCPC,"1625 M STREET NW, , WASHINGTON, DC / 2027365900",LR18419072014,"ROB, LBE",abriscoe@studiosarch.com,7/16/2014,Anthony Briscoe / 2027365911,1625 M ST NW,1625 M ST NW ,N
SUN DEVELOPMENT CORP,"1207 WYLIE STREET NE, , WASHINGTON, DC / 2025461005",LSD71867112014,"DBE, SBE, LBE",sundecorp@aol.com,11/16/2014,ANDRE LIPFORD / 2025461005,1207 WYLIE ST NE,1207 WYLIE ST NE ,N
"Sunshine Realty, LLC","1452 CORCORAN STREET NW, , WASHINGTON, DC / 2022349360",LSZR25962012014,"ROB, DZE, SBE, LBE",raphielh@sunshinerealty.biz,1/20/2014,Raphiel Hampton / 2022349360,1452 CORCORAN ST NW,1452 CORCORAN ST NW ,N
"Superior Couriers, LLC (Formerly Superior Couriers)","1317 ANACOSTIA ROAD SE, , WASHINGTON, DC / 2023975861",LSZR17041062014,"ROB, DZE, SBE, LBE",spcrobyoung@aol.com,6/11/2014,Robert Young / 2023975861,1317 ANACOSTIA RD SE,1317 ANACOSTIA RD SE ,N
"Superior Services & Associates, Inc.","1539 1ST STREET SW, Suite B, WASHINGTON, DC / 2025615000",LSDZR4164082014,"ROB, DZE, DBE, SBE, LBE",Superiorservicef@aol.com,8/15/2014,Delores Flowers / 2025615000,1539 1ST ST SW,1539 1ST ST SW ,N
"Supretech, Inc.","7600 GEORGIA AVENUE NW, Suite LL, WASHINGTON, DC / 2027267200",LSDR45133042014,"ROB, DBE, SBE, LBE",ig.ogu@supretech.com,4/9/2014,Ignatius Ogu / 2027267200,7600 GEORGIA AV NW,7600 GEORGIA AV NW ,N
"Susan Fitzgerald & Associates, Inc.","2238 48TH STREET NW, , WASHINGTON, DC / 2022566475",LSDV65255052013,"VOB, DBE, SBE, LBE",sfitzgerald@sfa-dc.com,5/27/2013,Susan Fitzgerald / 2022566475,2238 48TH ST NW,2238 48TH ST NW ,N
"Sustainable Communities Development Company, LLC","5726 6TH STREET NW, , WASHINGTON, DC / 2027229177",LSDR72909072013,"ROB, DBE, SBE, LBE",sustainablecommunitiesdc@gmail.com,7/15/2013,Kay Pierson / 2027306892,5726 6TH ST NW,5726 6TH ST NW ,N
Swann's Construction Inc,"1300 1ST STREET NE, , WASHINGTON, DC / 2022891107",LSDZ88568022014,"DZE, DBE, SBE, LBE",jesseswann@swannconstructioninc.com,2/10/2014,Jesse Swann / 2022891107,1300 1ST ST NE,1300 1ST ST NE ,N
Swanson Communications,"1025 VERMONT AVENUE NW, Suite 1005, WASHINGTON, DC / 2027835500",LSDZR87306022014,"ROB, DZE, DBE, SBE, LBE",kswanson@swansonpr.com,2/9/2014,Kelly Swanson / 2027835500,1025 VERMONT AV NW,1025 VERMONT AV NW 1005,Y
"Symbology DC, LLC","1500 MASSACHUSETTS AVENUE NW, NW, WASHINGTON, DC / 2024870095",LSDZR84530112013,"ROB, DZE, DBE, SBE, LBE",barryej2000@aol.com,11/18/2013,Barry Jerrels / 2028334701,1500 MASSACHUSETTS AV NW,1500 MASSACHUSETTS AV NW ,N
"SYNERGETIC INFORMATION SYSTEMS, INC.","1200 G STREET NW, Suite 800, WASHINGTON, DC / 2024348680",LSDZ5738072014,"DZE, DBE, SBE, LBE",arayapro@gosynergetic.com,7/20/2014,Achuta Rayaprolu / 2024348680,1200 G ST NW,1200 G ST NW 800,Y
System Parking Corporation,"2300 M STREET NW, , WASHINGTON, DC / 2023310980",LSDZX35155022014,"LRB, DZE, DBE, SBE, LBE",systemcompanies@hotmail.com,2/10/2014,Meseret Berhanu /,2300 M ST NW,2300 M ST NW ,N
"T & P Construction Services, LLC","3952 BURNS PLACE SE, , WASHINGTON, DC / 2025752457",LSDR82697022015,"ROB, DBE, SBE, LBE",pswann@tandpconstruction.com,2/22/2015,Pamela Swann / 2024377559,3952 BURNS PLACE SE,3952 BURNS PLACE SE ,N
"Tai Pedro & Associates, P.C.","529 14TH STREET NW, 1230, WASHINGTON, DC / 2025450135",LSDZ64655062014,"DZE, DBE, SBE, LBE",tai@tai-pedro.com,6/1/2014,Taiwo Pedro / 2025450135,529 14TH ST NW,529 14TH ST NW 1230,Y
Tajainvestments,"1803 2ND STREET NW, , WASHINGTON, DC / 2022800220",LSDZR30051112013,"ROB, DZE, DBE, SBE, LBE",tajainvestments@gmail.com,11/18/2013,Michael Watson / 2022800220,1803 2ND ST NW,1803 2ND ST NW ,N
"Tandem Conglomerate, LLC","717 D STREET NW, Suite 300, WASHINGTON, DC / 2025808215",LSZ7190032014,"DZE, SBE, LBE",benjamin.nah@tandemconglomerate.com,3/9/2014,Benjamin Nah / 2025808215,717 D ST NW,717 D ST NW 300,Y
Taurus Development Group,"1341 H STREET NE, , WASHINGTON, DC / 2024624904",LSDZR74260122014,"ROB, DZE, DBE, SBE, LBE",bteeter@taurusdev.com,12/20/2014,Gail Montplaisir / 2024624904,1341 H ST NE,1341 H ST NE ,N
"TCT Cost Consultants, LLC","1627 CONNECTICUT AVENUE NW, 4th Floor, Suite 6, WASHINGTON, DC / 2023158944",LSDZ58054122013,"DZE, DBE, SBE, LBE",ktoscano@tctcost.com,12/1/2013,Kimberlee Toscano / 2023158944,1627 CONNECTICUT AV NW,1627 CONNECTICUT AV NW 4,Y
"Team Consulting, Inc.","1101 PENNSYLVANIA AVENUE NW, , WASHINGTON, DC / 2027564532",LSDZ30414062014,"DZE, DBE, SBE, LBE",bruce@theteamconsulting.com,6/1/2014,Bruce Hargrave / 2027564532,1101 PENNSYLVANIA AV NW,1101 PENNSYLVANIA AV NW ,N
TEAM TECHNOLOGY INC.,"819 7TH STREET NW, Suite 300, WASHINGTON, DC / 2028423340",LSDZ88096092013,"DZE, DBE, SBE, LBE",tti@teamtechnologyinc.com,9/23/2013,Gopal Krishnan / 2028423340,819 7TH ST NW,819 7TH ST NW 300,Y
Tech Nation LLC,"1629 K STREET NW, Suite 300, WASHINGTON, DC / 2023787785",LSDR83468082013,"ROB, DBE, SBE, LBE",technationllc@gmail.com,8/29/2013,Marc Trewick / 2023787785,1629 K ST NW,1629 K ST NW 300,Y
Technical Learning Centers Inc.,"1720 I STREET NW, Suite 200, WASHINGTON, DC / 2022233500",LSD38230072014,"DBE, SBE, LBE",mark@tlc-corp.com,7/25/2014,Mark Toufanian / 2022233500,1720 I ST NW,1720 I ST NW 200,Y
"Technical Property Services, Inc.","1819 L STREET NW, , WASHINGTON, DC / 2024668774",LS87195072013,"SBE, LBE",jerdo@tecprop.com,7/1/2013,Jason Erdo / 2024668774,1819 L ST NW,1819 L ST NW ,N
"Technology Metrics, LLC","7939 ORCHID STREET NW, , WASHINGTON, DC / 2028412606",LSR91482122014,"ROB, SBE, LBE",leonard.rockett@technologymetricsllc.com,12/31/2014,Leonard Rockett / 2028412606,7939 ORCHID ST NW,7939 ORCHID ST NW ,N
"Tecknomic, LLC","747 PRINCETON PLACE NW, , WASHINGTON, DC / 2028292953",LSDZR25256042014,"ROB, DZE, DBE, SBE, LBE",mlent@tecknomic.com,4/9/2014,Dexter Spencer / 2023188966,747 PRINCETON PLACE NW,747 PRINCETON PLACE NW ,N
Telecommunications Development Corp.,"1919 13TH STREET NW, , WASHINGTON, DC / 2022349400",LSDR56675022014,"ROB, DBE, SBE, LBE",KSims@telcomdc.com,2/10/2014,Roger Richmond / 2022349400,1919 13TH ST NW,1919 13TH ST NW ,N
Telesis BC Development Corporation,"1101 30TH STREET NW, 4th Floor, WASHINGTON, DC / 2023338447",LSR90946072014,"ROB, SBE, LBE",dfojas@telesiscorp.com,7/16/2014,Daniel Fojas /,1101 30TH ST NW,1101 30TH ST NW 4,Y
"Terra Nova Title & Settlement Services, LLC","1725 DE SALES STREET NW, Suite 401, WASHINGTON, DC / 2023310901",LS56618032013,"SBE, LBE",CCLARKE@TNOVATITLE.COM,3/18/2013,Christopher Clarke / 2023310902,1725 DE SALES ST NW,1725 DE SALES ST NW 401,Y
"TGI Installers of DC, LLC","1120 CONNECTICUT AVENUE NW, Suite 425, WASHINGTON, DC / 2028623930",LSD38799092014,"DBE, SBE, LBE",tgoldberg@tgiinstallers.com,9/6/2014,Tatyana Goldberg / 2026602682,1120 CONNECTICUT AV NW,1120 CONNECTICUT AV NW 425,Y
The AD Store,"3325 M STREET NW, , WASHINGTON, DC / 2023420222",LSDZ53368052014,"DZE, DBE, SBE, LBE",tina@theadstoredc.com,5/18/2014,Tina Bagapor OHarrow / 2023420222,3325 M ST NW,3325 M ST NW ,N
"The AMAR Group, LLC (formerly AMAR-Architecture, Management and Research)","6230 3RD STREET NW, 4, WASHINGTON, DC / 2028292577",LSDR87685032014,"ROB, DBE, SBE, LBE",ganderson@amargroupllc.com,3/16/2014,Genell Anderson / 2028292577,6230 3RD ST NW,6230 3RD ST NW 4,Y
The Aquiline Group,"1801 COLUMBIA ROAD NW, Suite 101, WASHINGTON, DC / 2024831757",LSDXR63148012014,"ROB, LRB, DBE, SBE, LBE",evelyn@theaquilinegroup.com,1/18/2014,Evelyn Rodriguez / 2024831757,1801 COLUMBIA RD NW,1801 COLUMBIA RD NW 101,Y
"THE ARGOS GROUP, LLC","631 D STREET NW, , WASHINGTON, DC / 2023794889",LSDR46748112013,"ROB, DBE, SBE, LBE",dennis@argosg.com,11/25/2013,Gilberto Cardenas / 2023794889,631 D ST NW,631 D ST NW ,N
The Black Swan LLC,"2124 11TH STREET NW, , WASHINGTON, DC / 2029573631",LSDR67895062014,"ROB, DBE, SBE, LBE",s@theblackswanllc.com,6/15/2014,Spencer Davis / 2029573631,2124 11TH ST NW,2124 11TH ST NW ,N
The Choice Inc.,"1767 P STREET NW, , WASHINGTON, DC / 2024081700",LSZX19553072013,"LRB, DZE, SBE, LBE",trickert@thechoiceinc.com,7/22/2013,Drew Hudson / 2024081700,1767 P ST NW,1767 P ST NW ,N
"The Cornelius Group, Inc","1350 CONNECTICUT AVENUE NW, Suite 303, WASHINGTON, DC / 2028617760",LSD70157042013,"DBE, SBE, LBE",amani@thecorneliusgroup.org,4/1/2013,Dana B Stebbins / 2028611350,1350 CONNECTICUT AV NW,1350 CONNECTICUT AV NW 303,Y
The Crider Group,"501 TRENTON STREET SE, , WASHINGTON, DC / 2025742211",LSZR91881022014,"ROB, DZE, SBE, LBE",eacrider@aol.com,2/17/2014,Elaine A. Crider / 2025742211,501 TRENTON ST SE,501 TRENTON ST SE ,N
"The Current Newspaper, Inc.","5185 MACARTHUR BOULEVARD NW, , WASHINGTON, DC / 2022447223",LSXR53004122013,"ROB, LRB, SBE, LBE",daviskennedy@currentnewspapers.com,12/8/2013,Davis Kennedy / 2022447223,5185 MACARTHUR BLVD NW,5185 MACARTHUR BLVD NW ,N
The District Communications Group,"1101 3RD STREET SW, Unit 711, WASHINGTON, DC / 2026560098",LSRV45782042013,"VOB, ROB, SBE, LBE",adam.clampitt@thedc-group.com,4/22/2013,Adam Clampitt / 2026510099,1101 3RD ST SW,1101 3RD ST SW 711,Y
"The Donohoe Companies, Inc.","2101 WISCONSIN AVENUE NW, , WASHINGTON, DC / 2023330880",LX32552112014,"LRB, LBE",steveD@donohoe.com,11/26/2014,Steve Donohoe /,2101 WISCONSIN AV NW,2101 WISCONSIN AV NW ,N
"The Final Cleaning Touch, LLC","4538 EASTERN AVENUE NE, , WASHINGTON, DC / 2024913825",LSDR78072062014,"ROB, DBE, SBE, LBE",TFCTouch@gmail.com,6/25/2014,Deneen Brown / 2404639348,4538 EERN AV NE,4538 EERN AV NE ,N
"The Francis Lee Companies, LLC","2019 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025612020",LSDZ32753022014,"DZE, DBE, SBE, LBE",bsmith@francisleecontracting.com,2/8/2014,Brian Smith / 2025612020,2019 MARTIN LUTHER KING JR AV SE,2019 MARTIN LUTHER KING JR AV SE ,N
"The Georgetown Design Group, Inc.","1920 N STREET NW, Suite 100, WASHINGTON, DC / 2028570060",LSXR10927052013,"ROB, LRB, SBE, LBE",dcolter@gdgcorp.com,5/13/2013,Donna Colter / 2028570060,1920 N ST NW,1920 N ST NW 100,Y
The Hamilton Group,"4406 GAULT PLACE NE, , WASHINGTON, DC / 2026894304",LSDZR6939022014,"ROB, DZE, DBE, SBE, LBE",kayhhpbp@verizon.net,2/24/2014,Kaari Hamilton / 2026894304,4406 GAULT PLACE NE,4406 GAULT PLACE NE ,N
"The Jarvis Company, LLC.","2600 VIRGINIA AVENUE NW, Suite 701, WASHINGTON, DC / 2022048700",LSZ65850112013,"DZE, SBE, LBE",wjarvis@thejarviscompany.com,11/25/2013,N William Jarvis / 2022048700,2600 VIRGINIA AV NW,2600 VIRGINIA AV NW 701,Y
The John Akridge Development Company,"601 13TH STREET NW, , WASHINGTON, DC / 2026248653",L56992092014,LBE,twilbur@akridge.com,9/6/2014,Thomas Wilbur / 2026383000,601 13TH ST NW,601 13TH ST NW ,N
The John Akridge Management Company,"601 13TH STREET NW, Suite 300N, WASHINGTON, DC / 2026383000",L6702102013,LBE,kmcdaniel@akridge.com,10/11/2013,Tom Wilbur / 2026383000,601 13TH ST NW,601 13TH ST NW 300,Y
"The JPM Group, LLC","3725 17TH STREET NE, , WASHINGTON, DC / 2022690836",LSDXR45764102013,"ROB, LRB, DBE, SBE, LBE",mobleyjnet@aol.com,10/14/2013,Pierpont M. Mobley / 2022690836,3725 17TH ST NE,3725 17TH ST NE ,N
The Leonard Resource Group,"1023 15TH STREET NW, Suite 200, WASHINGTON, DC / 2022898322",LSZR15757022015,"ROB, DZE, SBE, LBE",lrock@lrginc.com,2/21/2015,Tim Ford / 2022898322,1023 15TH ST NW,1023 15TH ST NW 200,Y
"The Lexx Group, Inc.","400 5TH STREET NW, , WASHINGTON, DC / 2023933085",LSDZ49714032013,"DZE, DBE, SBE, LBE",kpostell.lexxgroup@comcast.net,3/11/2013,Kenneth Postell / 2027879800,400 5TH ST NW,400 5TH ST NW ,N
The Lineage Institute,"622 EMERSON STREET NW, , WASHINGTON, DC / 8557752635",LSDZR69117042014,"ROB, DZE, DBE, SBE, LBE",contact@lineageswa.org,4/18/2014,CD Askew / 2027727354,622 EMERSON ST NW,622 EMERSON ST NW ,N
"The Meyers Group, LLC","100 MICHIGAN AVENUE NE, A31, WASHINGTON, DC / 2026434338",LSZR83331122014,"ROB, DZE, SBE, LBE",karenemeyers@gmail.com,12/26/2014,Karen Meyers / 2026434338,100 MICHIGAN AV NE,100 MICHIGAN AV NE 31,Y
"The Neighborhood Development Co., LLC","4110 KANSAS AVENUE NW, , WASHINGTON, DC / 2025673201",LSDZR80976092014,"ROB, DZE, DBE, SBE, LBE",awashington@neighborhooddevelopment.com,9/28/2014,Adrian Washington / 2027226002,4110 KANSAS AV NW,4110 KANSAS AV NW ,N
"The O'Riordan Bethel Law Firm, LLP","1314 19TH STREET NW, N/A, WASHINGTON, DC / 2028221720",LSDZ71719022015,"DZE, DBE, SBE, LBE",coriordan@oriordan-law.com,2/28/2015,Carol ORiordan / 2028221720,1314 19TH ST NW,1314 19TH ST NW ,N
The Reach Company,"3939 BENNING ROAD NE, , WASHINGTON, DC / 3018280997",LSZ98958022014,"DZE, SBE, LBE",cassandraclary5@yahoo.com,2/24/2014,Cassandra Clary / 3018280997,3939 BENNING RD NE,3939 BENNING RD NE ,N
The Robert Bobb Group,"555 13TH STREET NW, Suite 500-A West , WASHINGTON, DC / 2026884250",LZ79283122013,"DZE, LBE",bob@robertbobbgroup.com,12/12/2013,Robert Bobb / 2026884250,555 13TH ST NW,555 13TH ST NW 500,Y
"The Shaw Group, LLC","1815 FRANKFORD STREET SE, , WASHINGTON, DC / 8555174207",LSDZR56344072014,"ROB, DZE, DBE, SBE, LBE",qshaw@shawstaffingagency.com,7/17/2014,Quiana Shaw / 8555174207,1815 FRANKFORD ST SE,1815 FRANKFORD ST SE ,N
The Signmakers Incorporated,"5104 MACARTHUR BOULEVARD NW, , WASHINGTON, DC / 2023375050",LS45068062014,"SBE, LBE",cwine@signmakersinc.com,6/1/2014,Craig M. Wine / 2023375050,5104 MACARTHUR BLVD NW,5104 MACARTHUR BLVD NW ,N
The Simmons Group LLC,"4306 12TH PLACE NE, , WASHINGTON, DC / 2028325813",LSDR94850062014,"ROB, DBE, SBE, LBE",vsimmonstsg@gmail.com,6/29/2014,Vanassa Colmon / 2028325813,4306 12TH PLACE NE,4306 12TH PLACE NE ,N
"The Temple Group, Inc.","1120 CONNECTICUT AVENUE NW, 310, WASHINGTON, DC / 2028226600",LSX63547122013,"LRB, SBE, LBE",ghayes@thetemplegroup.com,12/22/2013,Lorraine H. Brown / 2028226600,1120 CONNECTICUT AV NW,1120 CONNECTICUT AV NW 310,Y
"The Triage Group, LLC","700 12TH STREET NW, Suite 700, WASHINGTON, DC / 2024702469",LSDZ53725122014,"DZE, DBE, SBE, LBE",stephanp@triagegroup.com,12/20/2014,Stephan Papadopulos / 2024701092,700 12TH ST NW,700 12TH ST NW 700,Y
"The Vargas Group, Inc.","38 PORTER STREET NE, , WASHINGTON, DC / 2025364276",LSDZ54557112013,"DZE, DBE, SBE, LBE",evargas@vargasgroup.net,11/10/2013,Elba Vargas / 2025364276,38 PORTER ST NE,38 PORTER ST NE ,N
The Walker Marchant Group,"1050 17TH STREET NW, 1200 , WASHINGTON, DC / 2024666040",LSR53820022014,"ROB, SBE, LBE",almina@walkermarchant.com,2/10/2014,Almina Khorakiwala / 2024666040,1050 17TH ST NW,1050 17TH ST NW 1200,Y
The Warrenton Group LLC,"5335 WISCONSIN AVENUE NW, , WASHINGTON, DC / 2024786299",LSD50857052013,"DBE, SBE, LBE",gkellee@warrentongroup.com,5/27/2013,Warren Williams / 2022100076,5335 WISCONSIN AV NW,5335 WISCONSIN AV NW ,N
The Washington Informer,"3117 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025614100",LSDZR39568052014,"ROB, DZE, DBE, SBE, LBE",denise@washingtoninformer.com,5/31/2014,Denise Rolark Barnes / 2025614100,3117 MARTIN LUTHER KING JR AV SE,3117 MARTIN LUTHER KING JR AV SE ,N
"The Williams Group, LLC","1624 PORTAL DRIVE NW, , WASHINGTON, DC / 2402352753",LSDR66462012014,"ROB, DBE, SBE, LBE",djwill11@mac.com,1/7/2014,David Williams / 2402352753,1624 PORTAL DR NW,1624 PORTAL DR NW ,N
"Thelan, Inc.","1420 NORTH CAPITOL STREET NW, Suite 2, WASHINGTON, DC / 2023504025",LSDZ81380102014,"DZE, DBE, SBE, LBE",andre.jean@thelanconsulting.com,10/19/2014,Andre Jean / 2025039401,1420 N CAPITOL ST NW,1420 N CAPITOL ST NW 2,Y
Thiha Inc.,"4812 ELLICOTT STREET NW, , WASHINGTON, DC / 2022719241",LSDR23519012014,"ROB, DBE, SBE, LBE",thihainc@yahoo.com,1/27/2014,Hashim Hassan / 2022719241,4812 ELLICOTT ST NW,4812 ELLICOTT ST NW ,N
"Thomas E. Henderson, DBA, LT Printing and Promotion Company","9 GRANT CIRCLE NW, , WASHINGTON, DC / 2024527620",LSR48185042013,"ROB, SBE, LBE",info@LTPrinting.Net,4/22/2013,Linda Henderson / 2024527620,9 GRANT CIRCLE NW,9 GRANT CIRCLE NW ,N
Three and One Contractors,"2025 BENNING ROAD NE, , WASHINGTON, DC / 2024259474",LSZR37473102013,"ROB, DZE, SBE, LBE",alldazceo@aol.com,10/28/2013,Curtis Chambers / 2024259474,2025 BENNING RD NE,2025 BENNING RD NE ,N
THRIVE HEALTH PLANS INC,"888 16TH STREET NW, , WASHINGTON, DC / 2023499840",LD28010072014,"DBE, LBE",tduncan@thrivehp.com,7/10/2014,Thomas Duncan / 3138067816,888 16TH ST NW,888 16TH ST NW ,N
Tina Boyd and Associates,"2126 CONNECTICUT AVENUE NW, , WASHINGTON, DC / 2025189101",LSR56996092014,"ROB, SBE, LBE",tscottboyd@comcast.net,9/6/2014,Tina Boyd / 2025189101,2126 CONNECTICUT AV NW,2126 CONNECTICUT AV NW ,N
Titian Verte,"1500 MASSACHUSETTS AVENUE NW, Suite 815, WASHINGTON, DC / 2024870095",LSDZR5549112013,"ROB, DZE, DBE, SBE, LBE",bjerrels@titianverte.com,11/18/2013,Barry Jerrels / 2024870095,1500 MASSACHUSETTS AV NW,1500 MASSACHUSETTS AV NW 815,Y
"Tito Contractors, Inc.","7308 GEORGIA AVENUE NW, , WASHINGTON, DC / 2022912255",LSX66496082014,"LRB, SBE, LBE",apierola@titocontractors.com,8/17/2014,Maximo Pierola / 2022912255,7308 GEORGIA AV NW,7308 GEORGIA AV NW ,N
TNT. LLC,"2200 PENNSYLVANIA AVENUE NW, , WASHINGTON, DC / 2025075755",LSD46350072014,"DBE, SBE, LBE",tntllc1@gmail.com,7/17/2014,Tyrone Thomas / 2025075755,2200 PENNSYLVANIA AV NW,2200 PENNSYLVANIA AV NW ,N
"Together Staffing, LLC","224 T STREET NE, #4, WASHINGTON, DC / 2023520116",LSDZR92605092014,"ROB, DZE, DBE, SBE, LBE",dmeyers@togetherstaffing.com,9/7/2014,Donald Meyers / 2023520116,224 T ST NE,224 T ST NE 4,Y
