Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
"Designed Services, Inc.",Corporation,"ROB, DZE, DBE, SBE, LBE",Active,MonicaRay@comcast.net,6/24/13,"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES),"
,,,,,,"Construction, Fire Protection (Includes Fire Escapes),"
,,,,,,"CONSULTING SERVICES,"
,,,,,,"Accounting/Auditing/Budget Consulting,"
,,,,,,"Administrative Consulting,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Business Consulting, Large,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance,"
,,,,,,"Economy Consulting,"
,,,,,,"Education and Training Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Finance/Economics Consulting,"
,,,,,,"Housing Consulting,"
,,,,,,"Human Resources Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Minority and Small Business Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Personnel/Employment Consulting,"
,,,,,,"MANAGEMENT SERVICES,"
,,,,,,"Business Management Services,"
,,,,,,"Support Services, Management,"
,,,,,,"Personnel Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED),"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Non-Professional Services (Not Otherwise Classified),"
,,,,,,"MISCELLANEOUS SERVICES, NO. 2 (NOT OTHERWISE CLASSIFIED),"
,,,,,,Professional Services (Not Otherwise Classified)
"SPEEDY TAX & ACCOUNTING SERVICES, PLLC",Limited Liability Corporation,"SBE, LBE",Active,mzemikiel@speedycpas.com,2/10/14,"Accounting/Financial: Bookkeeping, Billing and Invoicing, Budgeting, Payroll, Taxes, etc.,"
,,,,,,"Communications: Networking, Linking, etc. (Includes Clustering Software),"
,,,,,,"Database Software,"
,,,,,,"E-Commerce Software (Microcomputer),"
,,,,,,"SOFTWARE, TRAINING AND TESTING COURSES, FOR PROFESSIONAL, MICROCOMPUTER,"
,,,,,,"Accounting/Auditing/Budget Consulting,"
,,,,,,"Auditing Services, Environmental,"
,,,,,,"Accounting Services (Not Otherwise Classified),"
,,,,,,"Auditing,"
,,,,,,"Tax Services (Including Tax Preparation, Advisory Services, etc.)"
"Symbology DC, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,barryej2000@aol.com,11/18/13,"CARDS, IDENTIFICATION (I.D.), PRINTER OR STRAIGHT CUT (REGULAR), INSTANT COLOR PHOTO,"
,,,,,,"CARDS, IDENTIFICATION (I.D.), PIN FED, INSTANT COLOR PHOTO,"
,,,,,,"Scanners and Readers, Magnetic Strip,"
,,,,,,"Inventory Management,"
,,,,,,"Logistics and Supply Chain Software,"
,,,,,,Hardware
IME Services,Sole Proprietorship,"DZE, DBE, SBE, LBE",Active,mmcdermott@ime-mts.com,6/24/13,"CONSULTING SERVICES,"
,,,,,,"Accounting/Auditing/Budget Consulting,"
,,,,,,"Administrative Consulting,"
,,,,,,"Analytical Studies and Surveys (Consulting),"
,,,,,,"Business Consulting, Small,"
,,,,,,"Business Consulting, Large,"
,,,,,,"Compliance Consulting, American Disabilities Act (ADA),"
,,,,,,"Community Development Consulting,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Computer Network Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance,"
,,,,,,"Economy Consulting,"
,,,,,,"Education and Training Consulting,"
,,,,,,"Employee Benefits Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Finance/Economics Consulting,"
,,,,,,"Human Relations Consulting,"
,,,,,,"Human Resources Consulting,"
,,,,,,"Human Services Consulting (To Include Mental Health Consulting Services),"
,,,,,,"Insurance Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Minority and Small Business Consulting,"
,,,,,,"Natural Disasters (Fire, Flood, Wind, Quakes) Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Personnel/Employment Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"Security/Safety Consulting,"
,,,,,,Telecommunications Consulting
The Warrenton Group LLC,Limited Liability Corporation,"DBE, SBE, LBE",Active,gkellee@warrentongroup.com,4/22/15,"Real Estate/Property Management,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Housing Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Slum Redevelopment Services,"
,,,,,,"Urban and Regional Development Services,"
,,,,,,"Business Management Services,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Property Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,Program/Project Development and Management Services
"JLara Educational Consulting, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,julialar@gmail.com,10/19/14,"Compliance Consulting, American Disabilities Act (ADA),"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Education and Training Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Advisory Services, Educational,"
,,,,,,"Course Development Services, Instructional/Training,"
,,,,,,"Educational Services, Alternative,"
,,,,,,"Educational Research Services,"
,,,,,,"Examination and Testing,"
,,,,,,"SCORING OF G.E.D. ESSAYS,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Not-For-Credit Classes, Seminars, Workshops, etc.,"
,,,,,,"Partnering Workshop Facilitation Services,"
,,,,,,"Training and Instruction (For Clients, Not Staff),"
,,,,,,"Project Management Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"TRANSLATION SERVICES, ENGLISH TO SPANISH,"
,,,,,,"TRANSLATION SERVICES, SPANISH TO ENGLISH"
Paige Industrial Services Inc.,Corporation,"DZE, SBE, LBE",Active,walkerv@paige-inc.com,6/19/14,
"R & J Consulting Group, LLC t/a Club Z! In-Home Tutoring Services",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,rvjoiner@comcast.net,4/26/15,"Project Management,"
,,,,,,"Project Management,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Education and Training Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Tutoring,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Lobby Services,"
,,,,,,"Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.),"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Non-Professional Services (Not Otherwise Classified),"
,,,,,,Professional Services (Not Otherwise Classified)
Heavy Henrys,Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,brian@heavyhenrys.com,11/2/14,"Building Construction, Educational,"
,,,,,,"Doors and Windows,"
,,,,,,"Air Duct Cleaning Services,"
,,,,,,"Flooring Maintenance and Repair to Include Refinishing and Sealing,"
,,,,,,"PREPARATION AND PATCHING OF FLOORS,"
,,,,,,"Remodeling and Alterations,"
,,,,,,"Wall and Ceiling Repair and Replacement (Including Drywalling),"
,,,,,,"Window Installation, Maintenance and Repair (Metal),"
,,,,,,"Window Installation, Maintenance, and Repair (Wood),"
,,,,,,"Shutter Installation, Maintenance and Repair,"
,,,,,,"Siding Installation and Repair Services,"
,,,,,,"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES),"
,,,,,,Construction Consulting
"Mosaic Investment Group, LLC dba Mosaic Construction & Engineering",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,saldair@aol.com,2/28/15,"Sand, Cement Testing,"
,,,,,,"Project Management,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Project Management,"
,,,,,,"Fencing, Temporary (For Construction and Other Industrial or Safety Uses),"
,,,,,,"ADHESIVES, CONCRETE,"
,,,,,,"Real Estate: Land and Improvements,"
,,,,,,"Ready-Mix Concrete,"
,,,,,,"CONCRETE, READY MIX,"
,,,,,,"CONCRETE, READY-MIX (AIR ENTRAINING OR W/A.E. ADDITIVE),"
,,,,,,"Site Assessment and Site Field Observation,"
,,,,,,"Testing Services,"
,,,,,,"Home Construction, Single Family,"
,,,,,,"Construction Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Environmental Consulting,"
,,,,,,"Roofing Consultant,"
,,,,,,"Telecommunications Consulting,"
,,,,,,"Environmental Services (Not Otherwise Classified),"
,,,,,,"Track Construction and Inspection,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Property Management Services,"
,,,,,,"Inspection Services, Construction Type,"
,,,,,,"Asphalt Sampling and Inspection Services,"
,,,,,,Concrete Testing Services
"J's Drywall, INC.",Corporation,"DZE, SBE, LBE",Active,josef@jsconstruction.us,7/15/13,"Project Management,"
,,,,,,"Project Management,"
,,,,,,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Acoustical Ceilings and Walls: Cleaning, Installation, Restoration, Maintenance and Repair (Including Panel Wall Systems),"
,,,,,,"Carpentry Maintenance and Repair Services,"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Wall and Ceiling Repair and Replacement (Including Drywalling),"
,,,,,,"Carpentry,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"CONSULTING SERVICES,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"MANAGEMENT SERVICES,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,Cost Estimating
"A Digital Solutions, Inc.",Corporation,"ROB, DZE, DBE, SBE, LBE",Active,kford@adigitalsolutions.com,6/24/13,"Processing Machinery and Equipment, Agricultural,"
,,,,,,"COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,"
,,,,,,"PROCESSORS, FOR MICROCOMPUTERS,"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"CD ROM DRIVE, EXTERNAL, FOR MICROCOMPUTERS,"
,,,,,,"CD ROM WRITER, EXTERNAL, FOR MICROCOMPUTERS,"
,,,,,,"CD ROM DRIVE, INTERNAL, FOR MICROCOMPUTERS,"
,,,,,,"CD ROM RW DRIVE, OPTICAL, FOR MICROCOMPUTERS,"
,,,,,,"DISK DRIVES, FLOPPY, EXTERNAL, FOR MICROCOMPUTERS,"
,,,,,,"DISK DRIVES, FLOPPY, INTERNAL, FOR MICROCOMPUTERS,"
,,,,,,"DISK DRIVE ACCESSORIES AND PARTS FOR MICROCOMPUTERS (SCREWS, MOUNTING KITS, ETC.),"
,,,,,,"TAPE DRIVES, EXTERNAL, COMPUTER, TO INCLUDE BACKUP AND OPERATION SOFTWARE, CONTROLLER CARDS AND ALL ADDITIONAL HARDWARE NECESSARY FOR INSTALLATION AND OPERATION,"
,,,,,,"ADAPTER, SCSI W/CACHE, MICROCOMPUTER,"
,,,,,,"ADAPTER, SERIAL/PARALLEL (ISA), MICROCOMPUTER,"
,,,,,,"CARDS, ADAPTER, DRIVE CONTROLLER, MICROCOMPUTER,"
,,,,,,"CARDS, ADAPTER, TAPE BACKUP, MICROCOMPUTER,"
,,,,,,"BOARDS, EXPANSION, SERIAL, MICROCOMPUTER,"
,,,,,,"CARDS, ADAPTER, VIDEO, MICROCOMPUTER,"
,,,,,,"CARDS, INTERFACE, TAPE BACKUP SYSTEM, MICROCOMPUTER,"
,,,,,,"CARDS, MULTIPLE SERIAL PORT, MICROCOMPUTER (EXPANSION BOARD),"
,,,,,,"CARDS, SERIAL, MICROCOMPUTER,"
,,,,,,"CARDS, SERIAL/PARALLEL, MICROCOMPUTER,"
,,,,,,"Imaging Systems, Microcomputer (Including Digital Imaging Network (DIN) and Digital Imaging Communications in Medicine (DICOM)),"
,,,,,,"KEYBOARD, MICROCOMPUTER,"
,,,,,,"Microcomputers, Desktop or Towerbased,"
,,,,,,"MICROCOMPUTERS, DESKTOP,"
,,,,,,"MICROCOMPUTER WORKSTATION, DOS OPERATING SYSTEM,"
,,,,,,"MICROCOMPUTER, TOWERBASED,"
,,,,,,"SERVERS, FILE, MICROCOMPUTER,"
,,,,,,"Microcomputers, Handheld, Laptop, and Notebook,"
,,,,,,"BATTERIES, MICROCOMPUTER,"
,,,,,,"DIGITIZERS, GRAPHIC, MICROCOMPUTER,"
,,,,,,"STATIONS, DOCKING, MICROCOMPUTER,"
,,,,,,"SCREENS, TOUCH, MICROCOMPUTER,"
,,,,,,"Printers, Microcomputer (Not Otherwise Classified),"
,,,,,,"Recycled Microcomputer Hardware and Peripherals,"
,,,,,,"DATA COLLECTOR AND SCANNER, PORTABLE,"
,,,,,,"Servers, Microcomputer (Application, Database, File, Mail, Network, Web, etc),"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Modems, External Data Communications,"
,,,,,,"CONNECTORS, NETWORK DATA,"
,,,,,,"Servers, Mini/Mainframe Computer (Application, Database, File, Mail, Network, Web, etc.),"
,,,,,,"POWER SUPPLIES, MICROCOMPUTER,"
,,,,,,"ACCESSORIES AND SUPPLIES, MICROCOMPUTER PRINTER,"
,,,,,,"PROJECTORS, DATA, DIGITAL,"
,,,,,,"CARTRIDGES, DATA TAPE AND CLEANING (4MM, 8MM, 12MM) (BRAND LISTED OR EQUAL),"
,,,,,,"CARTRIDGES, MAGNETIC DATA, DIGITAL,"
,,,,,,"CARTRIDGES, MAGNETIC TAPE, FOR COMPUTER DATA STORAGE,"
,,,,,,"CARTRIDGES, DATA, 1/4 IN., LARGE AND MINI,"
,,,,,,"CASSETTES, DATA STREAMER,"
,,,,,,"TAPE, MAGNETIC DATA, REEL TO REEL, ARCHIVAL GRADE,"
,,,,,,"COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),"
,,,,,,"SOFTWARE, MICROCOMPUTER, FINANCIAL, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED,"
,,,,,,"SOFTWARE, MICRO, AMORTIZATION AND MORTGAGE CALCULATION, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED,"
,,,,,,"Database Software,"
,,,,,,"EDI (Electronic Data Interchange) Translator Software, Microcomputer,"
,,,,,,"Word Processing, Text Editors, Label Makers, Spell Checkers, etc.,"
,,,,,,"Logging Devices, Electronic (Long-Range Data Collection and Recording for Use at a Remote Location),"
,,,,,,"Recycled Data Processing Cards and Paper,"
,,,,,,"BINDERS, DATA, FLEXIBLE STEEL, HANGING TYPE,"
,,,,,,"BINDERS, DATA, RECYCLED, 20 PT. PRESSBOARD, FLEXIBLE NYLON POST, RETRACTABLE STORAGE HOOKS, 6 IN. CAPACITY, UNBURST SHEETS, 75% RECYLCED MATERIAL W/MIN. 25% POST CONSUMER WASTE,"
,,,,,,"Data Processing Furniture, Metal and Plastic (For Storage Cabinets See Item 87),"
,,,,,,"DESK/WORKSTATION, DATA PROCESSING, WITH CRT VIEWING AREA IN DESK TOP, LAMINATED FINISH,"
,,,,,,"Data Processing Office Furniture, Wood (Not Storage Cabinets -See Item 87),"
,,,,,,"TABLES, DATA PROCESSING,"
,,,,,,"TABLES, DATA PROCESSING, INSTITUTIONAL QUALITY,"
,,,,,,"Storage Cabinets, Data Processing,"
,,,,,,"WORKSTATION, MULTIPURPOSE, DATA PROCESSING,"
,,,,,,"DEVELOPER, MICROFILM PROCESSING EQUIPMENT,"
,,,,,,"Typewriters, Memory: Typewriters with Memory for Data Storage and Retrieval (Not Microcomputer System Style),"
,,,,,,"Ribbons, Computer and Data Processing, All Types (For Tab See 610-73),"
,,,,,,"RIBBONS, COMPUTER AND DATA PROCESSING EQUIPMENT, NYLON, BRAND LISTED OR EQUAL,"
,,,,,,"RIBBONS, FOR USE ON DATA GENERAL EQUIPMENT,"
,,,,,,"RIBBONS, FOR USE IN DATAPOINT EQUIPMENT,"
,,,,,,"RIBBONS, FOR USE IN DATAPRODUCTS EQUIPMENT,"
,,,,,,"RIBBONS, FOR USE ON DATA SOUTH EQUIPMENT,"
,,,,,,"RIBBONS, DATA PROCESSING, COLOR, FOR USE ON FOLLOWING PRINTERS,"
,,,,,,"RIBBONS, FOR USE ON INTEGRAL DATA EQUIPMENT,"
,,,,,,"RIBBONS, FOR USE ON OKIDATA EQUIPMENT,"
,,,,,,"RIBBONS, INFORMATION PROCESSING, FOR USE ON THE FOLLOWING MACHINES,"
,,,,,,"Ribbons, Typewriter and Word Processing, Fabric,"
,,,,,,"Ribbons, Typewriter and Word Processing, Film,"
,,,,,,"RIBBONS, TYPEWRITER AND WORD PROCESSING, CORRECTABLE, BRAND LISTED OR EQUAL,"
,,,,,,"RIBBONS, TYPEWRITER AND WORD PROCESSING, MULTI-STRIKE, BRAND LISTED OR EQUAL,"
,,,,,,"LABELS, DATA PROCESSING, GENERAL PURPOSE, SELF-ADHESIVE, FOR USE IN PIN-FEEDING EQUIPMENT,"
,,,,,,"LABELS, WORD PROCESSING SELF-ADHESIVE,"
,,,,,,"Paper, Food Processing (Fresh and Frozen): Butcher Paper, Butter Paper, Freezer Paper, Vegetable Paper, etc.,"
,,,,,,"PAPERS FOR BLACK AND WHITE PRINT PROCESSING, SINGLEWEIGHT (KODAK AZ0 OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, SINGLEWEIGHT (KODAK PANALURE OREQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, SINGLEWEIGHT (KODAK POLYFIBER OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, ILFORD MULTIGRADE III RC RAPID GLOSSY OR EQUAL,"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, MEDIUMWEIGHT (KODAK KODACHROME II RC OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, SINGLE WT., (KODAK KODABROME OR EQUAL),"
,,,,,,"PAPER FOR BLACK & WHITE PRINT PROCESSING (KODAK KODABROMIDE OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, MEDIUM WEIGHT (KODAK PANALURE IIRC OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, MEDIUMWEIGHT (KODAK POLYCONTRAST RAPID II RC OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, MEDIUMWEIGHT (KODAK POLYCONRAST III RC OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, MEDIUMWEIGHT (KODAK POLYPRINT RC OR EQUAL),"
,,,,,,"PAPERS FOR BLACK AND WHITE PRINT PROCESSING DOUBLEWEIGHT, (KODAK EKTALURE OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, DOUBLEWEIGHT, WATER RESISTANT (KODAK KODABROMIDE OR EQUAL),"
,,,,,,"PAPER FOR BLACK AND WHITE PRINT PROCESSING, DOUBLEWEIGHT (KODAK POLYFIBER OR EQUAL),"
,,,,,,"PAPER, PHOTOGRAPHIC, RESIN COATED, FOR COLOR PRINT PROCESSING,"
,,,,,,"PAPER, COLOR NEGATIVE, FOR RA-4 PROCESSING, RESIN COATED,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING (KODAK EKTACHROME COPY PAPER OR EQUAL),"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING (KODAK EKTACHROME HC COPY PAPER OR EQUAL),"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, KODAK EKTACHROME 22 OR EQUAL,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, LOW CONTRAST EMULSION, KODAK EKTACOLOR PORTRA OR EQUAL,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, KODAK EKTACOLOR PLUS OR EQUAL,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, FUJI OR EQUAL,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING (KODAK EKTACOLOR PROFESSIONAL OR EQUAL),"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, NORMAL CONTRAST EMULSION, KODAK EKTACOLOR SUPRA OR EQUAL,"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING (KODAK POLYMAX OR EQUAL),"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING (KODAK POLYMAX RC OR EQUAL),"
,,,,,,"PAPER FOR COLOR PRINT PROCESSING, HIGH CONTRAST EMULSION, KODAK ULTRA OR EQUAL,"
,,,,,,"PAPER, FOR GRAPHIC ARTS FILM PROCESSING,"
,,,,,,"Data Acquisition Systems,"
,,,,,,"Paper Production and Processing Equipment and Supplies (Not Otherwise Classified),"
,,,,,,"EDI (Electronic Data Interchange) Value Added Network (VAN) Services,"
,,,,,,"Film Processing, Duplicating and Touch Up Services,"
,,,,,,"FILM PROCESSING AND PRINTING SERVICES,"
,,,,,,"Fulfillment (Incls. Data Processing, Packaging, Labeling and Mailing of Literature as a Package),"
,,,,,,MICRO
DC FIRE PROTECTION LLC,Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,DCFIREPROCO@AOL.COM,9/26/14,"Backfiring and Burning Equipment: Firing Torches, Flame Guns, etc.,"
,,,,,,"Brackets, Clamps and Holders for Fire Fighting Equipment,"
,,,,,,"BRACKETS, FIRE FIGHTING EQUIPMENT,"
,,,,,,"CLAMPS, FIREHOSE,"
,,,,,,"Cabinets and Covers (For Fire Extinguishers, Fire Hose and Racks, Valves, etc.),"
,,,,,,"COVERS, FIRE EXTINGUISHER,"
,,,,,,"Sprinkler Heads and Systems,"
,,,,,,"Valves, Fire Hose,"
,,,,,,"Fire Equipment Pumps and Pump Parts,"
,,,,,,"Construction, Fire Protection (Includes Fire Escapes),"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Fire Protection Equipment and Systems Including Fire Hydrants, Fire Sprinkler Systems, Smoke Detectors, Jaws of Life, Fire Protection Material Treatment, etc. Maintenance and Repair,"
,,,,,,Fire Protection Systems and Supplies Rental or Lease
"Preeminent Protective Services, Inc.",Corporation,"DBE, SBE, LBE",Active,lena@ppssvc.com,2/28/15,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Security/Safety Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Crime Prevention Services,"
,,,,,,"Guard and Security Services,"
,,,,,,"Patrol Services,"
,,,,,,Surveillance Services
Technical Learning Centers Inc.,Corporation,"DBE, SBE, LBE",Active,mark@tlc-corp.com,7/25/14,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Servers, Microcomputer (Application, Database, File, Mail, Network, Web, etc),"
,,,,,,"Computer Instructional Aids and Training Devices,"
,,,,,,"Database Software,"
,,,,,,"SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED,"
,,,,,,"Professional: Computer Training, Hospital/Pharmacy, Legal, etc.,"
,,,,,,"SOFTWARE, TRAINING AND TESTING COURSES, FOR PROFESSIONAL, MICROCOMPUTER,"
,,,,,,"Software For Computer Software Training,"
,,,,,,"TRAINING SOFTWARE FOR COMPUTER SOFTWARE,"
,,,,,,"Database,"
,,,,,,"Professional: Hospital/Pharmacy, Legal, Computer Training, etc.,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Business Consulting, Large,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Human Services Consulting (To Include Mental Health Consulting Services),"
,,,,,,"Management Consulting,"
,,,,,,"DATABASE ANALYSIS FOR NT, UNIX RELATIONAL DATABASE, CLIENT SERVER ENVIRONMENT,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Auditing,"
,,,,,,"Counseling,"
,,,,,,"Training and Instruction (For Clients, Not Staff),"
,,,,,,"Project Management Services,"
,,,,,,Program/Project Development and Management Services
"Advanced Consulting Engineering, P.C.",Corporation,"SBE, LBE",Active,gtk@acelimited.net,2/22/15,"Architectural Consulting,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Air Conditioning, Heating and Ventilating Engineering,"
,,,,,,"Cold Storage; Refrigeration; Fast Freeze/Engineering,"
,,,,,,"Electrical Engineering,"
,,,,,,"Engineer Services, Professional,"
,,,,,,"Energy Management Engineering,"
,,,,,,"Fire Protection Engineering,"
,,,,,,"Highways; Streets; Airport Pay-Parking Lots - Engineering,"
,,,,,,"Inspecting, General/Engineering,"
,,,,,,"Mechanical Engineering,"
,,,,,,"Power Generation, Transmission, Distribution - Engineering,"
,,,,,,"Sanitary Engineering,"
,,,,,,"Security Systems; Intruder and Smoke Detection/Engineering,"
,,,,,,"Value Engineering and Value Analysis Services, Professional,"
,,,,,,"Construction Management Services,"
,,,,,,Project Management Services
Absolute builders,Corporation,"DZE, DBE, SBE, LBE",Active,bahlborn@absolutebldrs.com,4/22/15,"Drafting Services,"
,,,,,,"Carpentry Maintenance and Repair Services,"
,,,,,,"Carpentry,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,Construction Consulting
Century Associates,Sole Proprietorship,"ROB, SBE, LBE",Active,joel.kelty@verizon.net,5/4/14,"Architect Services, Professional,"
,,,,,,"Buildings - Architectural Design,"
,,,,,,"Design Build Services,"
,,,,,,"General Construction - Architectural,"
,,,,,,"Graphic Design - Architectural,"
,,,,,,"Historical Preservation,"
,,,,,,"Interior Design, Space Planning, and Exhibits/Displays,"
,,,,,,"Landscape Architecture,"
,,,,,,"Land Development and Planning - Architectural,"
,,,,,,"Lighting (Interior, Exterior) - Architectural Services,"
,,,,,,"Models of Layouts and Buildings to Scale, Architectural,"
,,,,,,"Planning, Urban (Community, Regional, Areawide, and State),"
,,,,,,"Planning, Site (Installation and Project),"
,,,,,,"Recreation Facilities (Parks, Marinas, etc.) - Architectural Services,"
,,,,,,"Architectural Services, Non-Licensed (Not Otherwise Classified),"
,,,,,,"Architectural Consulting,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Governmental Consulting,"
,,,,,,"Landscaping Consulting,"
,,,,,,"Management Consulting,"
